worker_id,task_id,task_response_id,is_reviewed,review_score,tweet_id,text,username,bio
VME4939DFDXR,f5c241e4-07a6-4042-8b5f-5f8fdf68cb1b,0004c04b-9388-4f27-a2a3-b5566e86b9bd,TRUE,100,1.54E+18,@odosnarf @MollyJongFast @HC_Richardson That’s why states/people have to go back at the Supreme Court on this. Abor… https://t.co/zTugKdQhKl,eacamp3,
VNAQPVX4R36A,b4aed68f-a4a7-4d13-a629-4d9c980451fa,00fff9d8-54d0-495d-9e2c-d82036a5b028,FALSE,,1.54E+18,"Gullible, unintelligent, utterly corrupt or lacking in political acumen these Senators are OBVIOUSLY unfit to hold… https://t.co/NNTnWhzqE5",Ashkewoof,"Taking a break from social media till further notice.

still have a phone."
Z6J69GNZYEXY,9d59aa1b-4a9b-4ec9-b67c-54398e67f4e1,0107275f-90eb-4ad7-adab-63d8701f19e1,FALSE,,1.54E+18,"roe v wade criminalizes afabs, felons cant vote,, so its almost like they're backtracking on purpose just bc they w… https://t.co/w2PckRAJhX",notjaspr,̨𖥔་ ˖ 💎
2AZWNZRTVACE,dcf37ea4-da71-4a26-9a4c-e584565df9ca,010d31ab-e87c-4ff1-9eb9-eb9db62dc688,FALSE,,1.54E+18,"Most Americans favor keeping Roe v Wade.

But the unaccountable sponsors of #TeamCoup have cheated and bought their… https://t.co/6ZE81vRGJL",IndivisibleSF,San Franciscans standing indivisible to resist the Trump agenda in CA-12 and CA-14.  Get our newsletter at https://t.co/bG6KfAeU0C
WFRWYPY7XZJ9,22ec87db-c138-47f1-bce5-fac94fc32c65,0177c492-53d9-46ee-91fa-b8e1b4762dcb,FALSE,,1.54E+18,"@zookeeperdan @H0NEYRIVER Big fucking lol at calling an apparatus ""pro-choice"" when its leadership has 1) actively… https://t.co/EyayLvq1vd",LocalScienceJew,"pharmacology leftist, please shut the fuck up and look at some papers first ~ I haven't had a normal one in years. he/him"
XJKGQQWFXKTX,65d67ece-ce8d-4711-91c2-5281710049e9,01d86303-8cf8-4048-a6e2-344c97220387,FALSE,,1.54E+18,"@ChrisMurphyCT So, we should elect democrats who just sat on their asses for years during Obama and Biden and we st… https://t.co/Q748sGM6YH",MikeHeron8,"Disabled Vet living with Charcot Foot bi-lateral and an Autistic wife. She has a lot on her plate, God Bless her"
XJKGQQWFXKTX,0ba1640b-b818-4e23-b667-d962343f7fcf,01ed66fc-bcfb-4fd2-a893-ddb4a3f44d2c,FALSE,,1.54E+18,there’s so many things i wanna say about roe v wade but i can’t even put anything into words because it angers me so much,choro_98,i have no personality don’t follow me
T3RMAEPRMD6J,4be7136a-50ab-4652-8de0-f3734ad87ba4,0221c7c8-71a4-4847-a4c5-bc3fb4729970,FALSE,,1.54E+18,"Alternative proposal: cover travel expenses for @VanderbiltU employees who need abortions, as have many other emplo… https://t.co/blWtRXc8sO",mellissameisels,"Political Science PhD @VanderbiltU studying Congress, elections, $$ in politics. @UCLA alumna. Proud Oregonian. Nice(ish) Jewish girl."
6CNHTCG6W6XM,8617b170-4d3a-4789-b020-c51c0ce1e7c9,035e1a0b-fec5-4c88-81a4-6a79ba4c1d2f,FALSE,,1.54E+18,@JoeBiden Dont you have the power to make an executive order to make Roe v Wade into a permanent constitutional right?,Sploiv,i dont fuckin know anymore
7R2NKCJQNXPP,851318f8-7671-4f45-9a98-58ebe7013de1,037c1004-9dd9-4bce-a792-adffb278be86,FALSE,,1.54E+18,https://t.co/2vL1gxc3P3,AuntyLush,Judge jury and old joyce ~~ She/her
